	% 10/3/2018	
	% 10:14 AM
	% SAMPLE B mass: 114.400 +/- .001 g
	% CALORIMETER mass: 318.3 +/- .05 g	
	%Time (s) 	Water Temperature (C) 	Sample Temp (C) 
	247.943	93.396	24.864	25.545
	248.964	93.347	24.938	25.625
	249.983	93.381	25.005	25.702
	251.002	93.355	25.073	25.760
	252.029	93.275	25.119	25.822
	253.048	93.465	25.197	25.873
	254.070	93.277	25.222	25.932
	255.094	93.361	25.292	25.990
	256.113	93.326	25.353	26.054
	257.132	93.331	25.392	26.125
	258.155	93.292	25.459	26.174
	259.176	93.282	25.532	26.224
	260.195	93.284	25.588	26.280
	261.217	93.338	25.642	26.336
	262.240	93.503	25.719	26.398
	263.260	93.359	25.759	26.464
	264.281	93.256	25.777	26.504
	265.302	93.453	25.848	26.558
	266.328	93.332	25.927	26.601
	267.348	93.290	25.984	26.667
	268.365	93.413	26.007	26.726
	269.383	93.292	26.073	26.771
	270.406	93.540	26.141	26.819
	271.425	93.239	26.184	26.867
	272.449	93.286	26.229	26.902
	273.478	93.229	26.287	26.963
	274.513	93.258	26.338	27.008
	275.545	93.408	26.385	27.057
	276.583	93.345	26.428	27.101
	277.616	93.184	26.494	27.117
	278.644	93.408	26.522	27.162
	279.679	93.356	26.579	27.195
	280.714	93.425	26.638	27.236
	281.742	93.461	26.677	27.290
	282.776	93.483	26.717	27.337
	283.807	93.493	26.763	27.390
	284.839	93.369	26.790	27.404
	285.868	93.245	26.837	27.438
	286.897	93.598	26.853	27.483
	287.926	93.271	26.926	27.517
	288.956	93.202	26.952	27.565
	289.981	93.357	27.001	27.596
	291.004	93.367	27.062	27.630
	292.036	93.365	27.079	27.640
	293.074	93.297	27.113	27.683
	294.105	93.200	27.146	27.726
	295.131	93.594	27.197	27.742
	296.157	93.372	27.230	27.770
	297.181	93.544	27.279	27.799
	298.207	93.345	27.293	27.850
	299.241	93.257	27.324	27.878
	300.268	93.380	27.355	27.904
	301.298	93.261	27.397	27.919
	302.336	93.407	27.409	27.959
	303.370	93.652	27.477	27.989
	304.404	93.358	27.506	28.029
	305.431	93.353	27.547	28.048
	306.463	93.403	27.573	28.048
	307.499	93.366	27.609	28.083
	308.532	93.490	27.634	28.108
	309.558	93.446	27.673	28.141
	310.589	93.459	27.694	28.148
	311.617	93.376	27.704	28.194
	312.652	93.360	27.725	28.221
	313.687	93.387	27.738	28.236
	314.719	93.341	27.782	28.231
	315.753	93.419	27.826	28.279
	316.784	93.381	27.868	28.298
	317.818	93.404	27.883	28.325
	318.852	93.534	27.875	28.320
	319.878	93.516	27.921	28.357
	320.907	93.473	27.962	28.390
	321.935	93.474	27.983	28.378
	322.967	93.433	27.995	28.404
	323.999	93.373	28.015	28.426
	325.030	93.308	28.047	28.463
	326.062	93.363	28.073	28.455
	327.095	93.402	28.057	28.482
	328.124	93.344	28.109	28.489
	329.152	93.423	28.123	28.513
	330.178	93.387	28.138	28.524
	331.207	93.321	28.172	28.532
	332.245	93.468	28.179	28.564
	333.273	93.337	28.203	28.588
	334.313	93.342	28.218	28.566
	335.388	93.445	28.227	28.594
	336.419	93.406	28.257	28.613
	337.452	93.172	28.294	28.636
	338.483	93.361	28.299	28.643
	339.513	93.436	28.328	28.654
	340.541	93.322	28.318	28.649
	341.566	93.531	28.341	28.702
	342.599	93.368	28.351	28.676
	343.629	93.174	28.355	28.699
	344.659	93.300	28.397	28.726
	345.691	93.137	28.400	28.744
	346.759	93.532	28.441	28.753
	347.793	93.436	28.454	28.757
	348.819	93.312	28.433	28.760
	349.852	93.371	28.437	28.763
	350.900	93.294	28.456	28.753
	351.935	93.339	28.477	28.793
	352.966	93.304	28.506	28.806
	354.000	93.473	28.531	28.826
	355.046	93.356	28.539	28.828
	356.077	93.382	28.526	28.860
	357.110	93.527	28.548	28.850
	358.142	93.302	28.558	28.830
	359.186	93.158	28.549	28.888
	360.222	93.316	28.577	28.891
	361.261	93.350	28.591	28.882
	362.318	93.500	28.604	28.890
	363.344	93.512	28.617	28.892
	364.371	93.360	28.640	28.922
	365.400	93.444	28.650	28.918
	366.434	93.447	28.672	28.917
	367.462	93.484	28.646	28.935
	368.494	93.498	28.689	28.936
	369.522	93.374	28.685	28.937
	370.549	93.310	28.704	28.980
	371.576	93.637	28.691	28.965
	372.607	93.552	28.698	28.972
	373.637	93.470	28.717	28.989
	374.666	93.492	28.707	28.977
	375.695	93.423	28.725	28.969
	376.733	93.625	28.749	28.984
	377.767	93.316	28.744	29.009
	378.814	93.407	28.757	29.017
	379.853	93.401	28.762	29.015
	380.880	93.453	28.776	29.011
	381.910	93.333	28.785	29.018
	382.949	93.371	28.796	29.026
	383.985	93.419	28.783	29.039
	385.016	93.371	28.802	29.048
	386.052	93.443	28.803	29.041
	387.088	93.466	28.804	29.025
	388.113	93.468	28.834	29.041
	389.142	93.368	28.824	29.060
	390.168	93.284	28.848	29.065
	391.198	93.357	28.857	29.066
	392.229	93.324	28.845	29.058
	393.261	93.481	28.846	29.081
	394.287	93.479	28.869	29.085
	395.314	93.472	28.851	29.087
	396.344	93.434	28.872	29.087
	397.400	93.400	28.870	29.102
	398.451	93.502	28.893	29.092
	399.478	93.526	28.877	29.090
	400.514	93.418	28.914	29.106
	401.546	93.358	28.905	29.094
	402.583	93.437	28.900	29.116
	403.618	93.396	28.900	29.126
	404.646	93.405	28.913	29.114
	405.678	93.252	28.902	29.122
	406.709	93.341	28.927	29.106
	407.747	93.392	28.921	29.121
	408.777	93.303	28.934	29.137
	409.806	93.344	28.918	29.141
