%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83061.902,302.089,345.205,134.387,-0.011,0.013,5.000
83053.839,302.089,345.126,134.066,0.022,-0.009,5.000
83057.870,302.088,345.126,134.387,-0.011,0.013,5.000
83049.808,302.088,344.968,134.547,-0.011,-0.009,5.000
83049.808,302.088,345.047,134.547,0.006,-0.009,5.000
83053.839,302.088,345.205,134.867,0.006,0.002,5.000
83049.808,302.089,345.047,134.867,-0.011,-0.009,5.000
83049.808,302.089,345.047,134.867,-0.011,0.002,5.000
83045.776,302.088,345.126,135.347,0.022,-0.009,5.000
83049.808,302.089,345.047,135.347,-0.011,-0.019,5.000
83045.776,302.093,345.126,135.347,-0.011,0.013,5.000
83049.808,302.088,344.968,135.027,0.022,0.002,5.000
83049.808,302.086,345.047,135.187,-0.011,0.002,5.000
83049.808,302.088,344.968,135.507,-0.011,-0.009,5.000
83049.808,302.089,344.889,135.187,-0.011,0.002,5.000
83049.808,302.086,344.968,135.187,0.038,-0.009,5.000
83049.808,302.091,344.968,135.347,0.006,0.002,5.000
83057.870,302.086,344.731,135.187,-0.011,-0.009,5.000
83053.839,302.088,344.889,135.187,0.022,0.002,5.000
83057.870,302.089,344.889,135.187,-0.011,0.034,5.000
83053.839,302.089,344.889,135.027,-0.011,-0.009,5.000
83053.839,302.089,344.810,135.027,0.006,0.002,5.000
83049.808,302.086,344.810,134.867,-0.011,0.013,5.000
83057.870,302.088,344.731,134.867,0.006,0.013,5.000
83053.839,302.086,344.731,134.867,-0.011,0.002,5.000
83057.870,302.086,344.731,134.707,0.022,0.002,5.000
83065.933,302.085,344.731,134.867,0.022,-0.019,5.000
83057.870,302.086,344.810,134.707,0.022,0.002,5.000
83057.870,302.085,344.652,134.547,0.022,0.002,5.000
83061.902,302.085,344.810,134.547,0.006,0.002,5.000
83065.933,302.088,344.731,134.387,-0.011,0.002,5.000
83057.870,302.086,344.652,134.547,-0.011,0.002,5.000
83061.902,302.085,344.731,134.547,0.006,0.002,5.000
83065.933,302.086,344.731,134.226,-0.011,-0.019,5.000
83061.902,302.086,344.652,134.226,0.022,-0.009,5.000
83061.902,302.089,344.652,134.387,-0.011,-0.009,5.000
83057.870,302.086,344.731,134.547,0.006,0.002,5.000
83061.902,302.086,344.731,134.226,-0.011,-0.009,5.000
83061.902,302.088,344.731,134.547,-0.011,0.013,5.000
83065.933,302.086,344.731,134.387,0.006,0.002,5.000
83065.933,302.088,344.731,134.226,-0.011,0.002,5.000
83065.933,302.088,344.731,134.547,0.022,-0.009,5.000
83053.839,302.085,344.810,134.547,-0.011,0.002,5.000
83057.870,302.086,344.968,134.707,0.006,-0.009,5.000
83053.839,302.089,344.810,134.387,0.006,-0.009,5.000
83057.870,302.086,344.810,134.707,0.022,0.002,5.000
83057.870,302.086,344.810,134.547,0.022,0.002,5.000
83053.839,302.086,344.731,134.707,0.022,0.002,5.000
